sent?,avoid?,user_id,date,count,username,country,influence1,influence2,influence3,none_DS dev,alt_name,chronology,count,date,x,y,country2,mentions mentioned,count
x,,108066,2009-09-05 9:25:14,15,Cyril Scarlet,AR,kioukiou,Alace,Shinxyn,,S i r i r u,287,15,2009,7412,1451,17,,17
x,,63829,2009-09-05 23:38:53,0,Bass,PL,DJPop,tsuka,Lesjuh,,,288,0,2009,,,,,
x,dead,46538,,0,WyndII,PH,,,,,,289,0,2009,,,,,
x,,104827,,0,orioncomet,TH,,,,,,290,0,2009,,,,,
x,,84841,2009-09-13 10:07:15,1,CXu,NO,kioukiou,Charles445,NatsumeRin,,,291,1,2009,,,,,
x,dead,98768,,0,Vibty99,TW,,,,,,292,0,2009,,,,,
,big,102335,,0,Ephemeral,AU,,,,,,293,0,2009,,,,,
x,dead,14137,2009-09-22 0:54:27,1,Inozuma,FR,,,,,,294,1,2009,,,,,
x,,100324,2009-09-24 3:49:23,1,miccoliasms,JP,,,,,,295,1,2009,,,,,
x,dead,94258,,0,zerosyn,CN,,,,,,296,0,2009,,,,,
x,,73453,,0,taka1235,JP,,,,,,297,0,2009,,,,,
x,dead,2793922,,0,leimiliya,TW,,,,,,298,0,2009,,,,,
x,dead,39129,,0,ShaggoN,PL,,,,,,299,0,2009,,,,,
x,,951,2009-10-12 22:39:39,0,MegaManEXE,US,Al-Azif,Alace,James,,,300,0,2009,,,,,
x,,124455,2009-10-17 17:04:18,0,NoHitter,PH,DJPop,Larto,,,,301,0,2009,,,,,
x,dead,17446,,0,sesito71,ES,,,,,,302,0,2009,,,,,
x,dead,113058,,0,Bibendum,JP,,,,,,303,0,2009,,,,,
x,,70863,,0,La Valse,KR,,,,,,304,0,2009,,,,,
x,dead,145557,,0,Nekomiya Nono,CN,,,,,,305,0,2009,,,,,
x,dead,45683,,0,AdvanceBoy,VE,,,,,,306,0,2009,,,,,
x,,34044,2009-10-20 8:05:30,0,xierbaliti,CN,DJPop,,,,,307,0,2009,,,,,
x,dead,113646,,0,arken1015,KR,,,,,,308,0,2009,,,,,
x,dead,6709091,,0,Cyborg,US,,,,,,309,0,2009,,,,,
x,,70730,2009-10-23 0:29:38,8,Sure,KR,James,DJPop,kioukiou,,ykcarrot,309.5,8,2009,7672,1131,,,
x,,19048,2009-10-24 10:30:56,17,Mismagius,BR,Lesjuh,Charles445,Duoprism,,Blue Dragon,310,17,2009,7672,1511,30,,30
